DriveID,DriveLabel,Path,Depth,Type,Name,Subdirs,Files,ItemCount,FileTypes,Size,SizeUnit
CE6A70F1,Cell 9,E:\Dronestitute\Neighborhood Inspections\Picard Farms,3,Folder,Picard Farms,0,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\Dronestitute\Neighborhood Inspections\Academy,3,Folder,Academy,0,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\Dronestitute\Neighborhood Inspections\Cypress Meadows,3,Folder,Cypress Meadows,0,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\Dronestitute\Neighborhood Inspections\Copper Meadows,3,Folder,Copper Meadows,0,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\Dronestitute\Neighborhood Inspections\Brentwood Blvd,3,Folder,Brentwood Blvd,0,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\Dronestitute\Neighborhood Inspections\Shannon Loop,3,Folder,Shannon Loop,0,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\Dronestitute\Neighborhood Inspections\Sugarmill Pond,3,Folder,Sugarmill Pond,0,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\Dronestitute\Neighborhood Inspections\Emberwood,3,Folder,Emberwood,0,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\Dronestitute\Neighborhood Inspections\La Nouvelle,3,Folder,La Nouvelle,0,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\Dronestitute\Neighborhood Inspections\Squirrel Run,3,Folder,Squirrel Run,0,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\Dronestitute\Neighborhood Inspections\Lafitte's Landing,3,Folder,Lafitte's Landing,0,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\Dronestitute\Thermal Inspections,2,Folder,Thermal Inspections,3,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\Dronestitute\Thermal Inspections\River Ranch,3,Folder,River Ranch,0,0,0,,0.0,MB
CE6A70F1,Cell 9,E:\Dronestitute\Thermal Inspections\LPSO,3,Folder,LPSO,0,0,0,,0.0,MB
